date,The Glory (TV series),Moving (South Korean TV series),My Demon,King the Land,Gyeongseong Creature,Twinkling Watermelon,Death's Game,Crash Course in Romance,Welcome to Samdal-ri,Celebrity (South Korean TV series),A Time Called You,Perfect Marriage Revenge,See You in My 19th Life,The Good Bad Mother,My Lovely Liar,Doona!,Love to Hate You (TV series),Daily Dose of Sunshine,Destined with You
2022-06-01,,185,,,,,,,,,121,,,,,,,,
2022-06-02,,169,,,,,,,,,119,,,,,,,,
2022-06-03,,179,,,,,,,,,121,,,,,,,,
2022-06-04,,163,,,,,,,,,143,,,,,,,,
2022-06-05,,204,,,,,,,,,125,,,,,,,,
2022-06-06,,156,,,,,,,,,163,,,,,,,,
2022-06-07,,170,,,,,,,,,141,,,,,,,,
2022-06-08,,198,,,,,,,,,159,,,,,,,,
2022-06-09,,190,,,,,,,,,146,,,,,,134.0,,
2022-06-10,,151,,,,,,,,,97,,,,,,83.0,,
2022-06-11,,188,,,,,,,,,106,,,,,,90.0,,
2022-06-12,,209,,,,,,,,,145,,,,,,91.0,,
2022-06-13,,210,,,,,,,,,175,,,,,,74.0,,
2022-06-14,,231,,,,,,,,,140,,,,,,88.0,,
2022-06-15,,187,,,,,,,,,113,,,,,,69.0,,
2022-06-16,,197,,,,,,,,,109,,,,,,74.0,,
2022-06-17,,185,,,,,,,,,114,,,,,,71.0,,
2022-06-18,,328,,,1.0,,,,,,136,,,,,,78.0,,
2022-06-19,,653,,,,,,,,,153,,,,,,102.0,,
2022-06-20,,564,,,,,,,,,152,,,,,,89.0,,
2022-06-21,,460,,,,,,,,,147,,,,,,67.0,,
2022-06-22,,341,,,,,,,,,149,,,,,,82.0,,
2022-06-23,,308,,,,,,,,,114,,,,,,94.0,,
2022-06-24,,266,,,,,,,,,146,,,,,,538.0,,
2022-06-25,,267,,,,,,,,,126,,,,,,1135.0,,
2022-06-26,,377,,,,,,,,,153,,,,,,1216.0,,
2022-06-27,,266,,,,,,,,,128,,,,,,832.0,,
2022-06-28,,263,,,0.0,,,,,,128,,,,,,704.0,,
